,name,storage_tray,storage_slot,worklist,spincoat0_steps,spincoat0_duration,spincoat0_drop0_solutes,spincoat0_drop0_solvent,spincoat0_drop0_molarity,spincoat0_drop0_time,spincoat0_drop0_height,spincoat0_drop0_rate,spincoat0_drop1_solutes,spincoat0_drop1_solvent,spincoat0_drop1_molarity,spincoat0_drop1_time,spincoat0_drop1_height,spincoat0_drop1_rate,anneal0_temperature,anneal0_duration,anneal0_hotplate,rest0_type,rest0_duration
0,sample0,Tray1,A1,"[{'sample': 'sample0', 'start': nan, 'task': 'spincoat', 'id': 'spincoat-ecd0580e-581a-41ec-a38c-03ac1b8c1a9e', 'precedent': None, 'details': {'steps': [{'rpm': 1000.0, 'acceleration': 500.0, 'duration': 10.0}, {'rpm': 3000.0, 'acceleration': 1000.0, 'duration': 30.0}], 'start_times': [5, 15.0], 'duration': 102, 'drops': [{'solution': {'solutes': 'MA_Sn0.6000_Pb0.4000_Bi0.0000_I3', 'molarity': 1.2, 'solvent': 'DMF4_DMSO1', 'well': {'labware': None, 'well': None}}, 'volume': 20, 'time': -5, 'rate': 100, 'height': 2, 'slow_retract': True, 'touch_tip': True, 'air_gap': True, 'pre_mix': (3, 50), 'reuse_tip': False, 'slow_travel': False, 'blow_out': False}, {'solution': {'solutes': '', 'molarity': 1, 'solvent': 'Chlorobenzene', 'well': {'labware': None, 'well': None}}, 'volume': 50, 'time': 35, 'rate': 150, 'height': 2, 'slow_retract': True, 'touch_tip': False, 'air_gap': True, 'pre_mix': (3, 100), 'reuse_tip': True, 'slow_travel': True, 'blow_out': False}]}}, {'sample': 'sample0', 'start': nan, 'task': 'anneal', 'id': 'anneal-e0ab5116-67ac-4730-9ec7-8783ee9446b0', 'precedent': None, 'details': {'temperature': 100, 'duration': 1800, 'hotplate': None}}, {'sample': 'sample0', 'start': nan, 'task': 'rest', 'id': 'rest-194bd5cb-f774-4bc6-b0ca-421d4196dd7e', 'precedent': None, 'details': {'type': 'rest', 'duration': 60}}, {'sample': 'sample0', 'start': nan, 'task': 'characterize', 'id': 'characterize-2f4094a6-a298-4524-96e2-1e01d5790912', 'precedent': None}]","[{'rpm': 1000.0, 'acceleration': 500.0, 'duration': 10.0}, {'rpm': 3000.0, 'acceleration': 1000.0, 'duration': 30.0}]",102,MA_Sn0.6000_Pb0.4000_Bi0.0000_I3,DMF4_DMSO1,1.2,-5,2,100,,Chlorobenzene,1,35,2,150,100,1800,,rest,60
1,sample1,Tray1,A2,"[{'sample': 'sample1', 'start': nan, 'task': 'spincoat', 'id': 'spincoat-dfa411ac-2529-494d-bd08-dd7f267ae07f', 'precedent': None, 'details': {'steps': [{'rpm': 1000.0, 'acceleration': 500.0, 'duration': 10.0}, {'rpm': 3000.0, 'acceleration': 1000.0, 'duration': 30.0}], 'start_times': [5, 15.0], 'duration': 102, 'drops': [{'solution': {'solutes': 'MA_Sn0.6000_Pb0.4000_Bi0.0000_Ag0.0000_I3', 'molarity': 1.2, 'solvent': 'DMF4_DMSO1', 'well': {'labware': None, 'well': None}}, 'volume': 20, 'time': -5, 'rate': 100, 'height': 2, 'slow_retract': True, 'touch_tip': True, 'air_gap': True, 'pre_mix': (3, 50), 'reuse_tip': False, 'slow_travel': False, 'blow_out': False}, {'solution': {'solutes': '', 'molarity': 1, 'solvent': 'Chlorobenzene', 'well': {'labware': None, 'well': None}}, 'volume': 50, 'time': 35, 'rate': 150, 'height': 2, 'slow_retract': True, 'touch_tip': False, 'air_gap': True, 'pre_mix': (3, 100), 'reuse_tip': True, 'slow_travel': True, 'blow_out': False}]}}, {'sample': 'sample1', 'start': nan, 'task': 'anneal', 'id': 'anneal-c497c446-de8f-4d5d-92c0-8d1170e32e76', 'precedent': None, 'details': {'temperature': 100, 'duration': 1800, 'hotplate': None}}, {'sample': 'sample1', 'start': nan, 'task': 'rest', 'id': 'rest-d5bc0906-5747-4a7d-b714-3a75e38477d2', 'precedent': None, 'details': {'type': 'rest', 'duration': 60}}, {'sample': 'sample1', 'start': nan, 'task': 'characterize', 'id': 'characterize-4704d39f-fb79-41eb-84ba-786221ad750d', 'precedent': None}]","[{'rpm': 1000.0, 'acceleration': 500.0, 'duration': 10.0}, {'rpm': 3000.0, 'acceleration': 1000.0, 'duration': 30.0}]",102,MA_Sn0.6000_Pb0.4000_Bi0.0000_Ag0.0000_I3,DMF4_DMSO1,1.2,-5,2,100,,Chlorobenzene,1,35,2,150,100,1800,,rest,60
2,sample2,Tray1,A3,"[{'sample': 'sample2', 'start': nan, 'task': 'spincoat', 'id': 'spincoat-7ae70bea-a476-44f4-be02-9802c2dd26de', 'precedent': None, 'details': {'steps': [{'rpm': 1000.0, 'acceleration': 500.0, 'duration': 10.0}, {'rpm': 3000.0, 'acceleration': 1000.0, 'duration': 30.0}], 'start_times': [5, 15.0], 'duration': 102, 'drops': [{'solution': {'solutes': 'MA_Sn0.5940_Pb0.3960_Bi0.0100_I3', 'molarity': 1.2, 'solvent': 'DMF4_DMSO1', 'well': {'labware': None, 'well': None}}, 'volume': 20, 'time': -5, 'rate': 100, 'height': 2, 'slow_retract': True, 'touch_tip': True, 'air_gap': True, 'pre_mix': (3, 50), 'reuse_tip': False, 'slow_travel': False, 'blow_out': False}, {'solution': {'solutes': '', 'molarity': 1, 'solvent': 'Chlorobenzene', 'well': {'labware': None, 'well': None}}, 'volume': 50, 'time': 35, 'rate': 150, 'height': 2, 'slow_retract': True, 'touch_tip': False, 'air_gap': True, 'pre_mix': (3, 100), 'reuse_tip': True, 'slow_travel': True, 'blow_out': False}]}}, {'sample': 'sample2', 'start': nan, 'task': 'anneal', 'id': 'anneal-456c44ad-e294-45f6-ae0a-8da54db68419', 'precedent': None, 'details': {'temperature': 100, 'duration': 1800, 'hotplate': None}}, {'sample': 'sample2', 'start': nan, 'task': 'rest', 'id': 'rest-7425b515-2b4f-439f-be17-a4a31545dd0f', 'precedent': None, 'details': {'type': 'rest', 'duration': 60}}, {'sample': 'sample2', 'start': nan, 'task': 'characterize', 'id': 'characterize-c37aec6f-0c76-4ddb-9f11-75a0bb8394f3', 'precedent': None}]","[{'rpm': 1000.0, 'acceleration': 500.0, 'duration': 10.0}, {'rpm': 3000.0, 'acceleration': 1000.0, 'duration': 30.0}]",102,MA_Sn0.5940_Pb0.3960_Bi0.0100_I3,DMF4_DMSO1,1.2,-5,2,100,,Chlorobenzene,1,35,2,150,100,1800,,rest,60
3,sample3,Tray1,A4,"[{'sample': 'sample3', 'start': nan, 'task': 'spincoat', 'id': 'spincoat-cb50aef8-d1a6-40f8-91f7-7a920d4fd311', 'precedent': None, 'details': {'steps': [{'rpm': 1000.0, 'acceleration': 500.0, 'duration': 10.0}, {'rpm': 3000.0, 'acceleration': 1000.0, 'duration': 30.0}], 'start_times': [5, 15.0], 'duration': 102, 'drops': [{'solution': {'solutes': 'MA_Sn0.5880_Pb0.3920_Bi0.0100_Ag0.0100_I3', 'molarity': 1.2, 'solvent': 'DMF4_DMSO1', 'well': {'labware': None, 'well': None}}, 'volume': 20, 'time': -5, 'rate': 100, 'height': 2, 'slow_retract': True, 'touch_tip': True, 'air_gap': True, 'pre_mix': (3, 50), 'reuse_tip': False, 'slow_travel': False, 'blow_out': False}, {'solution': {'solutes': '', 'molarity': 1, 'solvent': 'Chlorobenzene', 'well': {'labware': None, 'well': None}}, 'volume': 50, 'time': 35, 'rate': 150, 'height': 2, 'slow_retract': True, 'touch_tip': False, 'air_gap': True, 'pre_mix': (3, 100), 'reuse_tip': True, 'slow_travel': True, 'blow_out': False}]}}, {'sample': 'sample3', 'start': nan, 'task': 'anneal', 'id': 'anneal-a37ea074-1a14-4701-8dc0-f37099a90d31', 'precedent': None, 'details': {'temperature': 100, 'duration': 1800, 'hotplate': None}}, {'sample': 'sample3', 'start': nan, 'task': 'rest', 'id': 'rest-143bd8b9-7aee-4f8d-8fb7-5dccaacfb488', 'precedent': None, 'details': {'type': 'rest', 'duration': 60}}, {'sample': 'sample3', 'start': nan, 'task': 'characterize', 'id': 'characterize-8b10b8fd-f5b2-4b09-a354-7a1762869ee9', 'precedent': None}]","[{'rpm': 1000.0, 'acceleration': 500.0, 'duration': 10.0}, {'rpm': 3000.0, 'acceleration': 1000.0, 'duration': 30.0}]",102,MA_Sn0.5880_Pb0.3920_Bi0.0100_Ag0.0100_I3,DMF4_DMSO1,1.2,-5,2,100,,Chlorobenzene,1,35,2,150,100,1800,,rest,60
4,sample4,Tray1,A5,"[{'sample': 'sample4', 'start': nan, 'task': 'spincoat', 'id': 'spincoat-67a0b851-c5c3-4cd7-b759-e64f7cb5d55a', 'precedent': None, 'details': {'steps': [{'rpm': 1000.0, 'acceleration': 500.0, 'duration': 10.0}, {'rpm': 3000.0, 'acceleration': 1000.0, 'duration': 30.0}], 'start_times': [5, 15.0], 'duration': 102, 'drops': [{'solution': {'solutes': 'MA_Sn0.5700_Pb0.3800_Bi0.0500_I3', 'molarity': 1.2, 'solvent': 'DMF4_DMSO1', 'well': {'labware': None, 'well': None}}, 'volume': 20, 'time': -5, 'rate': 100, 'height': 2, 'slow_retract': True, 'touch_tip': True, 'air_gap': True, 'pre_mix': (3, 50), 'reuse_tip': False, 'slow_travel': False, 'blow_out': False}, {'solution': {'solutes': '', 'molarity': 1, 'solvent': 'Chlorobenzene', 'well': {'labware': None, 'well': None}}, 'volume': 50, 'time': 35, 'rate': 150, 'height': 2, 'slow_retract': True, 'touch_tip': False, 'air_gap': True, 'pre_mix': (3, 100), 'reuse_tip': True, 'slow_travel': True, 'blow_out': False}]}}, {'sample': 'sample4', 'start': nan, 'task': 'anneal', 'id': 'anneal-a83a1852-1fe1-4e10-ac07-a1ea5163b228', 'precedent': None, 'details': {'temperature': 100, 'duration': 1800, 'hotplate': None}}, {'sample': 'sample4', 'start': nan, 'task': 'rest', 'id': 'rest-56f522bf-45d2-445d-ba5d-e73996273c54', 'precedent': None, 'details': {'type': 'rest', 'duration': 60}}, {'sample': 'sample4', 'start': nan, 'task': 'characterize', 'id': 'characterize-c07c6e82-d69b-4c4e-97a8-49f784e819b7', 'precedent': None}]","[{'rpm': 1000.0, 'acceleration': 500.0, 'duration': 10.0}, {'rpm': 3000.0, 'acceleration': 1000.0, 'duration': 30.0}]",102,MA_Sn0.5700_Pb0.3800_Bi0.0500_I3,DMF4_DMSO1,1.2,-5,2,100,,Chlorobenzene,1,35,2,150,100,1800,,rest,60
5,sample5,Tray1,B1,"[{'sample': 'sample5', 'start': nan, 'task': 'spincoat', 'id': 'spincoat-23f635e8-d70c-4fd8-b437-17d3ba420944', 'precedent': None, 'details': {'steps': [{'rpm': 1000.0, 'acceleration': 500.0, 'duration': 10.0}, {'rpm': 3000.0, 'acceleration': 1000.0, 'duration': 30.0}], 'start_times': [5, 15.0], 'duration': 102, 'drops': [{'solution': {'solutes': 'MA_Sn0.5400_Pb0.3600_Bi0.0500_Ag0.0500_I3', 'molarity': 1.2, 'solvent': 'DMF4_DMSO1', 'well': {'labware': None, 'well': None}}, 'volume': 20, 'time': -5, 'rate': 100, 'height': 2, 'slow_retract': True, 'touch_tip': True, 'air_gap': True, 'pre_mix': (3, 50), 'reuse_tip': False, 'slow_travel': False, 'blow_out': False}, {'solution': {'solutes': '', 'molarity': 1, 'solvent': 'Chlorobenzene', 'well': {'labware': None, 'well': None}}, 'volume': 50, 'time': 35, 'rate': 150, 'height': 2, 'slow_retract': True, 'touch_tip': False, 'air_gap': True, 'pre_mix': (3, 100), 'reuse_tip': True, 'slow_travel': True, 'blow_out': False}]}}, {'sample': 'sample5', 'start': nan, 'task': 'anneal', 'id': 'anneal-5467b186-e2fc-452a-b745-4660657ef66b', 'precedent': None, 'details': {'temperature': 100, 'duration': 1800, 'hotplate': None}}, {'sample': 'sample5', 'start': nan, 'task': 'rest', 'id': 'rest-e7e662ea-1f8a-42ca-a7d9-f4b86edff477', 'precedent': None, 'details': {'type': 'rest', 'duration': 60}}, {'sample': 'sample5', 'start': nan, 'task': 'characterize', 'id': 'characterize-a42dac4a-c0c9-44b5-a8ac-3ed663a25545', 'precedent': None}]","[{'rpm': 1000.0, 'acceleration': 500.0, 'duration': 10.0}, {'rpm': 3000.0, 'acceleration': 1000.0, 'duration': 30.0}]",102,MA_Sn0.5400_Pb0.3600_Bi0.0500_Ag0.0500_I3,DMF4_DMSO1,1.2,-5,2,100,,Chlorobenzene,1,35,2,150,100,1800,,rest,60
6,sample6,Tray1,B2,"[{'sample': 'sample6', 'start': nan, 'task': 'spincoat', 'id': 'spincoat-9db58a50-8dc1-4bdd-82b1-ee9a35dcd727', 'precedent': None, 'details': {'steps': [{'rpm': 1000.0, 'acceleration': 500.0, 'duration': 10.0}, {'rpm': 3000.0, 'acceleration': 1000.0, 'duration': 30.0}], 'start_times': [5, 15.0], 'duration': 102, 'drops': [{'solution': {'solutes': 'MA_Sn0.5400_Pb0.3600_Bi0.1000_I3', 'molarity': 1.2, 'solvent': 'DMF4_DMSO1', 'well': {'labware': None, 'well': None}}, 'volume': 20, 'time': -5, 'rate': 100, 'height': 2, 'slow_retract': True, 'touch_tip': True, 'air_gap': True, 'pre_mix': (3, 50), 'reuse_tip': False, 'slow_travel': False, 'blow_out': False}, {'solution': {'solutes': '', 'molarity': 1, 'solvent': 'Chlorobenzene', 'well': {'labware': None, 'well': None}}, 'volume': 50, 'time': 35, 'rate': 150, 'height': 2, 'slow_retract': True, 'touch_tip': False, 'air_gap': True, 'pre_mix': (3, 100), 'reuse_tip': True, 'slow_travel': True, 'blow_out': False}]}}, {'sample': 'sample6', 'start': nan, 'task': 'anneal', 'id': 'anneal-fd6e1574-e413-4180-96cb-48fb6c219cff', 'precedent': None, 'details': {'temperature': 100, 'duration': 1800, 'hotplate': None}}, {'sample': 'sample6', 'start': nan, 'task': 'rest', 'id': 'rest-7a7a7730-10e3-4f65-bf01-abf40873c466', 'precedent': None, 'details': {'type': 'rest', 'duration': 60}}, {'sample': 'sample6', 'start': nan, 'task': 'characterize', 'id': 'characterize-39e47fc3-aea8-4b74-ac9d-374863d8de39', 'precedent': None}]","[{'rpm': 1000.0, 'acceleration': 500.0, 'duration': 10.0}, {'rpm': 3000.0, 'acceleration': 1000.0, 'duration': 30.0}]",102,MA_Sn0.5400_Pb0.3600_Bi0.1000_I3,DMF4_DMSO1,1.2,-5,2,100,,Chlorobenzene,1,35,2,150,100,1800,,rest,60
7,sample7,Tray1,B3,"[{'sample': 'sample7', 'start': nan, 'task': 'spincoat', 'id': 'spincoat-d5c19380-739e-418e-b8f1-298ed952efb2', 'precedent': None, 'details': {'steps': [{'rpm': 1000.0, 'acceleration': 500.0, 'duration': 10.0}, {'rpm': 3000.0, 'acceleration': 1000.0, 'duration': 30.0}], 'start_times': [5, 15.0], 'duration': 102, 'drops': [{'solution': {'solutes': 'MA_Sn0.4800_Pb0.3200_Bi0.1000_Ag0.1000_I3', 'molarity': 1.2, 'solvent': 'DMF4_DMSO1', 'well': {'labware': None, 'well': None}}, 'volume': 20, 'time': -5, 'rate': 100, 'height': 2, 'slow_retract': True, 'touch_tip': True, 'air_gap': True, 'pre_mix': (3, 50), 'reuse_tip': False, 'slow_travel': False, 'blow_out': False}, {'solution': {'solutes': '', 'molarity': 1, 'solvent': 'Chlorobenzene', 'well': {'labware': None, 'well': None}}, 'volume': 50, 'time': 35, 'rate': 150, 'height': 2, 'slow_retract': True, 'touch_tip': False, 'air_gap': True, 'pre_mix': (3, 100), 'reuse_tip': True, 'slow_travel': True, 'blow_out': False}]}}, {'sample': 'sample7', 'start': nan, 'task': 'anneal', 'id': 'anneal-e4fee86b-afa7-4f56-9b16-616c7e8d69c6', 'precedent': None, 'details': {'temperature': 100, 'duration': 1800, 'hotplate': None}}, {'sample': 'sample7', 'start': nan, 'task': 'rest', 'id': 'rest-04f834b2-beac-4da8-b4e8-70d6d9fe97c6', 'precedent': None, 'details': {'type': 'rest', 'duration': 60}}, {'sample': 'sample7', 'start': nan, 'task': 'characterize', 'id': 'characterize-c93a3dc9-e9b8-403f-9b65-e25f83248bc8', 'precedent': None}]","[{'rpm': 1000.0, 'acceleration': 500.0, 'duration': 10.0}, {'rpm': 3000.0, 'acceleration': 1000.0, 'duration': 30.0}]",102,MA_Sn0.4800_Pb0.3200_Bi0.1000_Ag0.1000_I3,DMF4_DMSO1,1.2,-5,2,100,,Chlorobenzene,1,35,2,150,100,1800,,rest,60
8,sample8,Tray1,B4,"[{'sample': 'sample8', 'start': nan, 'task': 'spincoat', 'id': 'spincoat-890bf23b-e9e4-4284-b28e-2c1a28abdc6b', 'precedent': None, 'details': {'steps': [{'rpm': 1000.0, 'acceleration': 500.0, 'duration': 10.0}, {'rpm': 3000.0, 'acceleration': 1000.0, 'duration': 30.0}], 'start_times': [5, 15.0], 'duration': 102, 'drops': [{'solution': {'solutes': 'MA_Sn0.6000_Pb0.4000_Bi0.0000_I3', 'molarity': 1.2, 'solvent': 'DMF4_DMSO1', 'well': {'labware': None, 'well': None}}, 'volume': 20, 'time': -5, 'rate': 100, 'height': 2, 'slow_retract': True, 'touch_tip': True, 'air_gap': True, 'pre_mix': (3, 50), 'reuse_tip': False, 'slow_travel': False, 'blow_out': False}, {'solution': {'solutes': '', 'molarity': 1, 'solvent': 'Chlorobenzene', 'well': {'labware': None, 'well': None}}, 'volume': 50, 'time': 35, 'rate': 150, 'height': 2, 'slow_retract': True, 'touch_tip': False, 'air_gap': True, 'pre_mix': (3, 100), 'reuse_tip': True, 'slow_travel': True, 'blow_out': False}]}}, {'sample': 'sample8', 'start': nan, 'task': 'anneal', 'id': 'anneal-3dda3b75-068e-407d-9caf-c768a3d447cf', 'precedent': None, 'details': {'temperature': 125, 'duration': 1800, 'hotplate': None}}, {'sample': 'sample8', 'start': nan, 'task': 'rest', 'id': 'rest-26cdce19-8388-488d-be9b-b81a9ecb40fd', 'precedent': None, 'details': {'type': 'rest', 'duration': 60}}, {'sample': 'sample8', 'start': nan, 'task': 'characterize', 'id': 'characterize-7af3f06b-312e-4de6-818b-f957a3b2da6e', 'precedent': None}]","[{'rpm': 1000.0, 'acceleration': 500.0, 'duration': 10.0}, {'rpm': 3000.0, 'acceleration': 1000.0, 'duration': 30.0}]",102,MA_Sn0.6000_Pb0.4000_Bi0.0000_I3,DMF4_DMSO1,1.2,-5,2,100,,Chlorobenzene,1,35,2,150,125,1800,,rest,60
9,sample9,Tray1,B5,"[{'sample': 'sample9', 'start': nan, 'task': 'spincoat', 'id': 'spincoat-f631bcc2-14af-42a7-8fe1-8aa7dbeaddc9', 'precedent': None, 'details': {'steps': [{'rpm': 1000.0, 'acceleration': 500.0, 'duration': 10.0}, {'rpm': 3000.0, 'acceleration': 1000.0, 'duration': 30.0}], 'start_times': [5, 15.0], 'duration': 102, 'drops': [{'solution': {'solutes': 'MA_Sn0.6000_Pb0.4000_Bi0.0000_Ag0.0000_I3', 'molarity': 1.2, 'solvent': 'DMF4_DMSO1', 'well': {'labware': None, 'well': None}}, 'volume': 20, 'time': -5, 'rate': 100, 'height': 2, 'slow_retract': True, 'touch_tip': True, 'air_gap': True, 'pre_mix': (3, 50), 'reuse_tip': False, 'slow_travel': False, 'blow_out': False}, {'solution': {'solutes': '', 'molarity': 1, 'solvent': 'Chlorobenzene', 'well': {'labware': None, 'well': None}}, 'volume': 50, 'time': 35, 'rate': 150, 'height': 2, 'slow_retract': True, 'touch_tip': False, 'air_gap': True, 'pre_mix': (3, 100), 'reuse_tip': True, 'slow_travel': True, 'blow_out': False}]}}, {'sample': 'sample9', 'start': nan, 'task': 'anneal', 'id': 'anneal-9c8d3ee2-3f71-46bc-8e1e-6de58cebc632', 'precedent': None, 'details': {'temperature': 125, 'duration': 1800, 'hotplate': None}}, {'sample': 'sample9', 'start': nan, 'task': 'rest', 'id': 'rest-5c1b3a71-43ce-4eb6-91a7-cd09b11afcfe', 'precedent': None, 'details': {'type': 'rest', 'duration': 60}}, {'sample': 'sample9', 'start': nan, 'task': 'characterize', 'id': 'characterize-b2c44a96-d6ac-4a63-8b8b-089e1d6e6fa4', 'precedent': None}]","[{'rpm': 1000.0, 'acceleration': 500.0, 'duration': 10.0}, {'rpm': 3000.0, 'acceleration': 1000.0, 'duration': 30.0}]",102,MA_Sn0.6000_Pb0.4000_Bi0.0000_Ag0.0000_I3,DMF4_DMSO1,1.2,-5,2,100,,Chlorobenzene,1,35,2,150,125,1800,,rest,60
